Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA,,
B1,21/10/2001,Lierse,Gent,1,2,A,1,1,D,2.48,3.15,2.48,2.4,2.9,2.4,2.5,3.2,2.4,,,,2.45,3.3,2.35,,
B1,21/10/2001,Westerlo,Germinal,1,2,A,0,0,D,1.9,3.25,3.5,1.85,3,3.3,1.909,3.25,3.4,,,,1.8,3.55,3.3,,
B1,27/10/2001,Charleroi,Genk,0,3,A,0,2,A,2.6,3.05,2.45,2.6,3,2.2,2.5,3.25,2.4,2.5,3.2,2.4,2.3,3.3,2.5,,
B1,27/10/2001,Germinal,Aalst,4,0,H,1,0,H,1.6,3.5,5,1.7,3.1,3.8,1.8,3.25,3.8,1.73,3.4,4,1.65,3.45,4.2,,
B1,27/10/2001,RWD Molenbeek,Louvieroise,1,0,H,0,0,D,1.85,3.3,3.6,1.9,3,3.1,1.8,3.4,3.6,1.8,3.4,3.6,,,,,
B1,27/10/2001,St Truiden,Antwerp,3,1,H,1,0,H,1.7,3.4,4.15,1.75,3.1,3.6,1.73,3.4,4,1.67,3.4,4.33,1.65,3.55,4,,
B1,27/10/2001,Standard,Anderlecht,1,0,H,0,0,D,2.55,3.05,2.5,2.35,3,2.35,2.5,3.25,2.4,2.4,3.4,2.4,2.5,3.3,2.37,,
B1,27/10/2001,Westerlo,Lokeren,0,1,A,0,0,D,2.2,3.1,2.9,2.1,2.9,2.9,2,3.3,3.1,2.1,3.25,2.88,2,3.4,2.9,,
B1,28/10/2001,Gent,Club Brugge,2,2,D,1,0,H,2.6,3.05,2.45,2.35,3,2.35,2.5,3.2,2.4,2.38,3.25,2.5,2.6,3.3,2.3,,
B1,28/10/2001,Lommel,Lierse,2,2,D,2,1,H,2.2,3.15,2.85,2.3,2.9,2.5,2.1,3.25,2.9,2.1,3.4,2.8,2.1,3.35,2.75,,
