Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,,,,,,,,,
D1,29/08/2004,Borussia Dortmund,Hannover 96,1,1,D,1,0,H,11,11,11,16,0,7,3,1,0,0,1.5,3.5,6,1.4,4.2,6.6,1.5,3.9,6.35,1.45,3.8,5.4,1.5,3.4,6,1.44,3.75,7,1.5,3.4,6,1.6,2.15,1.57,2.3,2.05,1.8,-1.25,2.1,1.74,-1.25,2.1,1.8,-1.25,,,,,,,,,
D1,29/08/2004,Werder Bremen,VFL Wolfsburg,1,2,A,0,0,D,26,7,21,23,7,0,2,1,0,0,1.44,3.75,6.5,1.45,4.1,6,1.5,3.9,6.35,1.6,3.4,4.6,1.44,3.6,6.5,1.44,3.75,7,1.44,3.6,6.5,1.55,2.25,1.61,2.25,2.05,1.8,-1.25,2.04,1.8,-1.25,2.05,1.85,-1.25,,,,,,,,,
D1,11/09/2004,Bayern München,Arminia Bielefeld,1,0,H,1,0,H,14,5,15,19,3,3,1,1,0,0,1.2,5,12,1.2,5.6,11,1.2,6,13,1.2,5,10,1.25,4.5,10,1.2,5.5,12,1.25,4.8,8.5,1.5,2.35,1.53,2.4,2.05,1.7,-2,1.82,2.02,-1.75,1.8,2.1,-1.75,,,,,,,,,
D1,11/09/2004,VFL Bochum,Borussia Dortmund,2,2,D,1,0,H,11,15,18,24,3,7,1,4,0,0,2.375,3.2,2.625,2.5,3.3,2.5,2.5,3.2,2.7,2.4,3,2.6,2.375,3.2,2.6,2.4,3.2,2.7,2.37,3,2.7,1.71,2,1.85,1.95,2.1,1.67,-0.25,1.78,2.06,0,1.875,2.025,0,,,,,,,,,
D1,11/09/2004,FSV Mainz 05,Bayer Leverkusen,2,0,H,0,0,D,11,6,10,18,2,4,0,1,0,0,3.5,3.25,1.909,3.95,3.4,1.8,3.9,3.4,1.9,3.2,3.1,2,3.5,3.2,1.909,3.4,3.25,2,3.3,3.2,1.95,1.6,2.15,1.65,2.2,2.15,1.65,0.25,1.94,1.9,0.5,1.875,2.025,0.5,,,,,,,,,
D1,11/09/2004,Bor. Mönchengladbach,Werder Bremen,3,1,H,1,0,H,13,16,24,18,3,5,3,2,0,0,2.875,3.2,2.2,3.2,3.3,2.05,3.1,3.2,2.25,2.7,3,2.3,2.8,3.2,2.2,3,3.2,2.2,2.8,3.2,2.2,1.65,2.05,1.7,2.1,1.9,1.95,0.25,1.92,1.92,0.25,1.9,2,0.25,,,,,,,,,
D1,11/09/2004,FC Nürnberg,Hertha BSC,0,0,D,0,0,D,21,12,25,14,7,5,0,2,0,0,2.25,3.2,2.8,2.4,3.3,2.6,2.4,3.2,2.85,2.4,3,2.6,2.25,3.2,2.75,2.3,3.25,2.8,2.37,3.1,2.62,1.71,2,1.75,2.05,2.1,1.67,-0.25,1.78,2.06,0,1.8,2.1,0,,,,,,,,,
D1,11/09/2004,VfB Stuttgart,Hamburger SV,2,0,H,1,0,H,11,14,20,20,4,5,1,3,0,0,1.571,3.6,5,1.5,3.9,5.6,1.65,3.4,5.6,1.6,3.4,4.6,1.571,3.5,5,1.61,3.4,5.5,1.57,3.5,5,1.65,2.05,1.75,2.05,2.1,1.67,-1,1.74,2.1,-0.75,1.775,2.125,-0.75,,,,,,,,,
D1,11/09/2004,VFL Wolfsburg,FC Schalke 04,3,0,H,2,0,H,20,18,20,20,6,4,3,5,0,0,2.3,3.2,2.7,2.4,3.3,2.6,2.3,3.25,3,2.2,3,2.9,2.2,3.25,2.75,2.25,3.2,2.9,2.2,3.2,2.8,1.71,2,1.7,2.1,1.7,2.05,0,1.98,1.86,-0.25,2.025,1.875,-0.25,,,,,,,,,
D1,12/09/2004,Hannover 96,SC Freiburg,2,2,D,2,0,H,8,13,22,14,5,7,1,1,0,0,1.833,3.25,3.75,1.8,3.4,3.95,1.9,3.4,3.85,1.85,3.1,3.6,1.909,3.2,3.5,1.85,3.3,3.8,1.95,3.3,3.25,1.71,2,1.7,2.1,1.65,2.15,-0.25,1.82,2.02,-0.5,1.9,2,-0.5,,,,,,,,,
