Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,29/11/1997,Werder Bremen,VfB Stuttgart,2,2,D,0,0,D,,,,,,,,,,,
D1,30/11/1997,Bayer Leverkusen,Bayern München,4,2,H,1,2,A,,,,,,,,,,,
D1,05/12/1997,FC Kaiserslautern,Bayern München,2,0,H,1,0,H,,,,,,,,,,,
D1,06/12/1997,Arminia Bielefeld,VFL Bochum,0,2,A,0,0,D,,,,,,,,,,,
D1,06/12/1997,MSV Duisburg,FC Köln,2,2,D,1,1,D,,,,,,,,,,,
D1,06/12/1997,Bayer Leverkusen,FC Schalke 04,0,0,D,0,0,D,,,,,,,,,,,
D1,06/12/1997,Bor. Mönchengladbach,Hamburger SV,1,1,D,1,0,H,,,,,,,,,,,
D1,06/12/1997,1860 München,VfB Stuttgart,1,3,A,1,0,H,,,,,,,,,,,
D1,06/12/1997,Werder Bremen,Karlsruher SC,2,4,A,2,1,H,,,,,,,,,,,
D1,07/12/1997,VFL Wolfsburg,FC Hansa Rostock,1,1,D,0,0,D,,,,,,,,,,,
D1,12/12/1997,FC Hansa Rostock,Werder Bremen,1,2,A,1,1,D,,,,,,,,,,,
D1,12/12/1997,Hertha BSC,FC Kaiserslautern,2,0,H,1,0,H,,,,,,,,,,,
D1,13/12/1997,Bayern München,Bor. Mönchengladbach,3,2,H,1,0,H,,,,,,,,,,,
D1,13/12/1997,FC Köln,Borussia Dortmund,4,2,H,2,1,H,,,,,,,,,,,
D1,13/12/1997,Hamburger SV,VFL Wolfsburg,1,2,A,0,1,A,,,,,,,,,,,
D1,13/12/1997,Karlsruher SC,1860 München,0,0,D,0,0,D,,,,,,,,,,,
D1,13/12/1997,FC Schalke 04,MSV Duisburg,1,1,D,1,1,D,,,,,,,,,,,
D1,13/12/1997,VfB Stuttgart,Arminia Bielefeld,1,0,H,0,0,D,,,,,,,,,,,
D1,14/12/1997,VFL Bochum,Bayer Leverkusen,0,0,D,0,0,D,,,,,,,,,,,
D1,16/12/1997,Borussia Dortmund,Hertha BSC,3,0,H,2,0,H,,,,,,,,,,,
D1,19/12/1997,Borussia Dortmund,FC Schalke 04,2,2,D,1,0,H,,,,,,,,,,,
D1,19/12/1997,Bor. Mönchengladbach,Hertha BSC,4,2,H,2,2,D,,,,,,,,,,,
D1,20/12/1997,Arminia Bielefeld,Karlsruher SC,2,1,H,0,1,A,,,,,,,,,,,
D1,20/12/1997,MSV Duisburg,VFL Bochum,2,0,H,0,0,D,,,,,,,,,,,
D1,20/12/1997,FC Kaiserslautern,FC Köln,3,2,H,1,1,D,,,,,,,,,,,
D1,20/12/1997,Bayer Leverkusen,VfB Stuttgart,6,1,H,3,1,H,,,,,,,,,,,
D1,20/12/1997,1860 München,Werder Bremen,0,1,A,0,0,D,,,,,,,,,,,
