Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D1,05/11/1994,KFC Uerdingen 05,Bayern München,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,06/11/1994,Borussia Dortmund,Werder Bremen,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,11/11/1994,VFL Bochum,Borussia Dortmund,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,11/11/1994,Bor. Mönchengladbach,FC Kaiserslautern,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,12/11/1994,Bayern München,FC Schalke 04,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,12/11/1994,Dynamo Dresden,KFC Uerdingen 05,1,2,A,,,,,,,,,,,,,,,,,,,,,
D1,12/11/1994,MSV Duisburg,FC Köln,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,12/11/1994,SC Freiburg,Eintracht Frankfurt,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,12/11/1994,Bayer Leverkusen,Karlsruher SC,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,12/11/1994,Werder Bremen,VfB Stuttgart,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,13/11/1994,Hamburger SV,1860 München,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,18/11/1994,FC Köln,Hamburger SV,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,18/11/1994,FC Schalke 04,Dynamo Dresden,4,0,H,,,,,,,,,,,,,,,,,,,,,
D1,19/11/1994,Borussia Dortmund,SC Freiburg,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,19/11/1994,Eintracht Frankfurt,Bor. Mönchengladbach,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,19/11/1994,FC Kaiserslautern,MSV Duisburg,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,19/11/1994,Karlsruher SC,Bayern München,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,19/11/1994,1860 München,Bayer Leverkusen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,19/11/1994,VfB Stuttgart,VFL Bochum,2,2,D,,,,,,,,,,,,,,,,,,,,,
D1,19/11/1994,KFC Uerdingen 05,Werder Bremen,1,3,A,,,,,,,,,,,,,,,,,,,,,
D1,25/11/1994,VFL Bochum,KFC Uerdingen 05,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,25/11/1994,Werder Bremen,FC Schalke 04,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,26/11/1994,Bayern München,Bayer Leverkusen,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,26/11/1994,Dynamo Dresden,Karlsruher SC,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,26/11/1994,FC Köln,1860 München,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,26/11/1994,SC Freiburg,VfB Stuttgart,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,26/11/1994,Hamburger SV,FC Kaiserslautern,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,26/11/1994,Bor. Mönchengladbach,Borussia Dortmund,3,3,D,,,,,,,,,,,,,,,,,,,,,
D1,27/11/1994,MSV Duisburg,Eintracht Frankfurt,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,29/11/1994,VFL Bochum,Karlsruher SC,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,29/11/1994,FC Köln,FC Kaiserslautern,0,1,A,,,,,,,,,,,,,,,,,,,,,
D1,29/11/1994,Bor. Mönchengladbach,KFC Uerdingen 05,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,02/12/1994,FC Kaiserslautern,1860 München,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,03/12/1994,Bayern München,Dynamo Dresden,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,03/12/1994,Borussia Dortmund,MSV Duisburg,1,0,H,,,,,,,,,,,,,,,,,,,,,
D1,03/12/1994,Eintracht Frankfurt,Hamburger SV,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,03/12/1994,Karlsruher SC,Werder Bremen,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,03/12/1994,Bayer Leverkusen,FC Köln,3,1,H,,,,,,,,,,,,,,,,,,,,,
D1,03/12/1994,FC Schalke 04,VFL Bochum,3,2,H,,,,,,,,,,,,,,,,,,,,,
D1,03/12/1994,VfB Stuttgart,Bor. Mönchengladbach,2,4,A,,,,,,,,,,,,,,,,,,,,,
D1,03/12/1994,KFC Uerdingen 05,SC Freiburg,0,2,A,,,,,,,,,,,,,,,,,,,,,
D1,10/12/1994,Dynamo Dresden,Bayer Leverkusen,1,1,D,,,,,,,,,,,,,,,,,,,,,
D1,10/12/1994,MSV Duisburg,VfB Stuttgart,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,10/12/1994,SC Freiburg,FC Schalke 04,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,10/12/1994,Hamburger SV,Borussia Dortmund,0,4,A,,,,,,,,,,,,,,,,,,,,,
D1,10/12/1994,1860 München,Eintracht Frankfurt,2,1,H,,,,,,,,,,,,,,,,,,,,,
D1,10/12/1994,Werder Bremen,Bayern München,0,0,D,,,,,,,,,,,,,,,,,,,,,
D1,17/02/1995,MSV Duisburg,KFC Uerdingen 05,2,0,H,,,,,,,,,,,,,,,,,,,,,
D1,17/02/1995,FC Köln,Eintracht Frankfurt,3,0,H,,,,,,,,,,,,,,,,,,,,,
D1,17/02/1995,SC Freiburg,Karlsruher SC,2,1,H,,,,,,,,,,,,,,,,,,,,,
