Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
D1,16/09/2000,Hamburger SV,Borussia Dortmund,2,3,A,1,1,D,46694,Bernd Heynemann ,9,7,3,6,0,0,6,8,17,18,4,3,2,1,0,0,20,10,2.05,3.25,3.15,2,2.9,3,2,3.4,3,2.1,3.1,3.2,2.1,3,3.2
D1,16/09/2000,Bayer Leverkusen,FC Hansa Rostock,1,2,A,0,2,A,21000,Franz-Xaver Wack ,26,5,9,1,0,0,14,4,19,21,2,1,2,2,0,0,20,20,1.25,4.8,7.9,1.3,4,7,1.33,4.3,7,1.29,4.5,8.5,1.28,4.5,8
D1,17/09/2000,Hertha BSC,VfB Stuttgart,2,0,H,0,0,D,40000,Florian Meyer ,10,6,5,3,0,0,10,8,16,15,3,0,0,0,0,0,0,0,1.85,3.2,3.8,1.85,3,3.3,1.8,3.4,3.75,1.55,3.4,4.5,1.72,3.3,4.33
D1,17/09/2000,FC Schalke 04,Werder Bremen,1,1,D,0,0,D,45025,Alfons Berg ,12,7,5,4,0,0,5,3,23,26,4,3,2,3,0,0,20,30,1.75,3.15,3.9,1.75,3.1,3.6,1.8,3.4,3.6,1.45,3.5,5,1.72,3.4,4
D1,22/09/2000,1860 München,SC Freiburg,3,1,H,0,1,A,22500,Lutz Michael Fröhlich ,13,9,4,4,0,2,7,8,9,21,1,2,1,3,0,1,10,55,1.6,3.45,4.8,1.6,3.2,4.2,1.65,3.4,4.3,,,,1.61,3.25,5
D1,23/09/2000,FC Köln,Bayern München,1,2,A,1,1,D,45000,Helmut Krug ,22,19,7,8,1,1,10,6,11,11,1,2,0,0,0,0,0,0,4.1,3.25,1.71,3.3,3,1.85,3.75,3.25,1.8,4.33,3.25,1.73,4.2,3.25,1.72
D1,23/09/2000,Energie Cottbus,Bayer Leverkusen,1,2,A,1,1,D,20000,Lutz Wagner ,8,14,4,9,0,1,6,4,19,19,3,7,1,3,1,0,35,30,3.65,3.35,1.85,3.1,3,1.9,3.75,3.25,1.8,3.5,3.25,1.95,3.4,3.3,1.9
D1,23/09/2000,Borussia Dortmund,FC Schalke 04,0,4,A,0,2,A,68000,Markus Merk ,10,8,3,4,0,0,7,4,17,14,4,3,2,2,0,0,20,20,1.85,3.1,3.9,1.85,3,3.3,1.9,3.25,3.4,1.95,3.2,3.5,1.9,2.75,4.2
D1,23/09/2000,VfB Stuttgart,VFL Bochum,1,1,D,0,1,A,15000,Wolfgang Stark ,16,8,5,3,2,0,11,2,14,16,1,3,4,2,0,0,40,20,1.4,3.8,6.9,1.5,3.4,4.7,1.45,3.6,6.5,1.4,3.6,6.5,1.5,3.4,6
D1,23/09/2000,Werder Bremen,Eintracht Frankfurt,1,1,D,1,1,D,26500,Peter Sippel ,10,6,5,4,1,0,6,6,15,18,4,1,2,0,0,1,20,25,1.7,3.4,4.2,1.7,3.1,3.8,1.65,3.4,4.3,1.53,3.5,5,1.6,3.5,4.5
