Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
E0,08/10/1994,Man City,Nott'm Forest,3,3,D,,,,,,,,,,,,,,,,,,,,,
E0,08/10/1994,Norwich,Leeds,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,08/10/1994,Sheffield Weds,Man United,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,08/10/1994,Southampton,Everton,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,08/10/1994,Tottenham,QPR,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,08/10/1994,West Ham,Crystal Palace,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,08/10/1994,Wimbledon,Arsenal,1,3,A,,,,,,,,,,,,,,,,,,,,,
E0,09/10/1994,Newcastle,Blackburn,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,10/10/1994,Coventry,Ipswich,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,15/10/1994,Arsenal,Chelsea,3,1,H,,,,,,,,,,,,,,,,,,,,,
E0,15/10/1994,Aston Villa,Norwich,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,15/10/1994,Blackburn,Liverpool,3,2,H,,,,,,,,,,,,,,,,,,,,,
E0,15/10/1994,Crystal Palace,Newcastle,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,15/10/1994,Everton,Coventry,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,15/10/1994,Leeds,Tottenham,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,15/10/1994,Leicester,Southampton,4,3,H,,,,,,,,,,,,,,,,,,,,,
E0,15/10/1994,Man United,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,15/10/1994,QPR,Man City,1,2,A,,,,,,,,,,,,,,,,,,,,,
E0,16/10/1994,Ipswich,Sheffield Weds,1,2,A,,,,,,,,,,,,,,,,,,,,,
E0,17/10/1994,Nott'm Forest,Wimbledon,3,1,H,,,,,,,,,,,,,,,,,,,,,
E0,22/10/1994,Aston Villa,Nott'm Forest,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,22/10/1994,Crystal Palace,Everton,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,22/10/1994,Liverpool,Wimbledon,3,0,H,,,,,,,,,,,,,,,,,,,,,
E0,22/10/1994,Man City,Tottenham,5,2,H,,,,,,,,,,,,,,,,,,,,,
E0,22/10/1994,Newcastle,Sheffield Weds,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,22/10/1994,Norwich,QPR,4,2,H,,,,,,,,,,,,,,,,,,,,,
E0,22/10/1994,West Ham,Southampton,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,23/10/1994,Arsenal,Coventry,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,23/10/1994,Blackburn,Man United,2,4,A,,,,,,,,,,,,,,,,,,,,,
E0,23/10/1994,Chelsea,Ipswich,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,24/10/1994,Leeds,Leicester,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,29/10/1994,Coventry,Man City,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,29/10/1994,Everton,Arsenal,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,29/10/1994,Ipswich,Liverpool,1,3,A,,,,,,,,,,,,,,,,,,,,,
E0,29/10/1994,Leicester,Crystal Palace,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,29/10/1994,Man United,Newcastle,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,29/10/1994,Nott'm Forest,Blackburn,0,2,A,,,,,,,,,,,,,,,,,,,,,
E0,29/10/1994,QPR,Aston Villa,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,29/10/1994,Sheffield Weds,Chelsea,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,29/10/1994,Southampton,Leeds,1,3,A,,,,,,,,,,,,,,,,,,,,,
E0,29/10/1994,Tottenham,West Ham,3,1,H,,,,,,,,,,,,,,,,,,,,,
E0,30/10/1994,Wimbledon,Norwich,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,31/10/1994,QPR,Liverpool,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,01/11/1994,Everton,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,01/11/1994,Ipswich,Leeds,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,02/11/1994,Coventry,Crystal Palace,1,4,A,,,,,,,,,,,,,,,,,,,,,
E0,02/11/1994,Sheffield Weds,Blackburn,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,02/11/1994,Southampton,Norwich,1,1,D,,,,,,,,,,,,,,,,,,,,,
E0,05/11/1994,Blackburn,Tottenham,2,0,H,,,,,,,,,,,,,,,,,,,,,
E0,05/11/1994,Crystal Palace,Ipswich,3,0,H,,,,,,,,,,,,,,,,,,,,,
E0,05/11/1994,Leeds,Wimbledon,3,1,H,,,,,,,,,,,,,,,,,,,,,
E0,05/11/1994,Liverpool,Nott'm Forest,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,05/11/1994,Man City,Southampton,3,3,D,,,,,,,,,,,,,,,,,,,,,
E0,05/11/1994,Newcastle,QPR,2,1,H,,,,,,,,,,,,,,,,,,,,,
E0,05/11/1994,Norwich,Everton,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,05/11/1994,West Ham,Leicester,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,06/11/1994,Arsenal,Sheffield Weds,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,06/11/1994,Aston Villa,Man United,1,2,A,,,,,,,,,,,,,,,,,,,,,
E0,06/11/1994,Chelsea,Coventry,2,2,D,,,,,,,,,,,,,,,,,,,,,
E0,07/11/1994,Nott'm Forest,Newcastle,0,0,D,,,,,,,,,,,,,,,,,,,,,
E0,09/11/1994,Liverpool,Chelsea,3,1,H,,,,,,,,,,,,,,,,,,,,,
E0,09/11/1994,Wimbledon,Aston Villa,4,3,H,,,,,,,,,,,,,,,,,,,,,
E0,10/11/1994,Man United,Man City,5,0,H,,,,,,,,,,,,,,,,,,,,,
E0,19/11/1994,Coventry,Norwich,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,19/11/1994,Ipswich,Blackburn,1,3,A,,,,,,,,,,,,,,,,,,,,,
E0,19/11/1994,Man United,Crystal Palace,3,0,H,,,,,,,,,,,,,,,,,,,,,
E0,19/11/1994,Nott'm Forest,Chelsea,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,19/11/1994,QPR,Leeds,3,2,H,,,,,,,,,,,,,,,,,,,,,
E0,19/11/1994,Sheffield Weds,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,19/11/1994,Southampton,Arsenal,1,0,H,,,,,,,,,,,,,,,,,,,,,
E0,19/11/1994,Tottenham,Aston Villa,3,4,A,,,,,,,,,,,,,,,,,,,,,
E0,19/11/1994,Wimbledon,Newcastle,3,2,H,,,,,,,,,,,,,,,,,,,,,
E0,20/11/1994,Leicester,Man City,0,1,A,,,,,,,,,,,,,,,,,,,,,
E0,21/11/1994,Everton,Liverpool,2,0,H,,,,,,,,,,,,,,,,,,,,,
