Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,15/12/1998,Hertha BSC,SC Freiburg,1,0,H,1,0,H,,,,,,,,,,,
D1,16/12/1998,MSV Duisburg,Kaiserslautern,3,1,H,0,1,A,,,,,,,,,,,
D1,16/12/1998,M'gladbach,Bayern München,0,2,A,0,2,A,,,,,,,,,,,
D1,18/12/1998,Dortmund,VfB Stuttgart,3,0,H,1,0,H,,,,,,,,,,,
D1,18/12/1998,SC Freiburg,Bochum,1,1,D,0,0,D,,,,,,,,,,,
D1,19/12/1998,Bayern München,VFL Wolfsburg,3,0,H,1,0,H,,,,,,,,,,,
D1,19/12/1998,Ein Frankfurt,MSV Duisburg,0,0,D,0,0,D,,,,,,,,,,,
D1,19/12/1998,Hamburger SV,FC Nürnberg,2,0,H,0,0,D,,,,,,,,,,,
D1,19/12/1998,Hansa Rostock,Bayer Leverkusen,1,1,D,0,1,A,,,,,,,,,,,
D1,19/12/1998,Kaiserslautern,1860 München,1,1,D,0,0,D,,,,,,,,,,,
D1,19/12/1998,Schalke 04,M'gladbach,1,0,H,0,0,D,,,,,,,,,,,
D1,20/12/1998,Werder Bremen,Hertha BSC,2,1,H,1,0,H,,,,,,,,,,,
D1,19/02/1999,VFL Wolfsburg,Hansa Rostock,1,1,D,0,1,A,,,,,,,,,,,
D1,20/02/1999,MSV Duisburg,Bayern München,0,3,A,0,2,A,,,,,,,,,,,
D1,20/02/1999,Hertha BSC,Dortmund,3,0,H,0,0,D,,,,,,,,,,,
D1,20/02/1999,Bayer Leverkusen,SC Freiburg,1,1,D,0,1,A,,,,,,,,,,,
D1,20/02/1999,1860 München,Ein Frankfurt,4,1,H,4,0,H,,,,,,,,,,,
D1,20/02/1999,FC Nürnberg,Werder Bremen,1,1,D,1,1,D,,,,,,,,,,,
D1,20/02/1999,VfB Stuttgart,Schalke 04,2,1,H,0,0,D,,,,,,,,,,,
D1,21/02/1999,M'gladbach,Kaiserslautern,0,2,A,0,1,A,,,,,,,,,,,
D1,26/02/1999,Kaiserslautern,VfB Stuttgart,1,1,D,0,0,D,,,,,,,,,,,
D1,26/02/1999,Werder Bremen,Bochum,1,1,D,0,1,A,,,,,,,,,,,
D1,27/02/1999,Dortmund,FC Nürnberg,3,0,H,1,0,H,,,,,,,,,,,
D1,27/02/1999,Ein Frankfurt,M'gladbach,0,0,D,0,0,D,,,,,,,,,,,
D1,27/02/1999,SC Freiburg,VFL Wolfsburg,0,0,D,0,0,D,,,,,,,,,,,
D1,27/02/1999,Hamburger SV,Bayer Leverkusen,0,0,D,0,0,D,,,,,,,,,,,
D1,27/02/1999,Hansa Rostock,Bayern München,0,4,A,0,0,D,,,,,,,,,,,
D1,27/02/1999,1860 München,MSV Duisburg,0,0,D,0,0,D,,,,,,,,,,,
D1,28/02/1999,Schalke 04,Hertha BSC,0,0,D,0,0,D,,,,,,,,,,,
D1,05/03/1999,MSV Duisburg,Hansa Rostock,4,1,H,3,0,H,,,,,,,,,,,
D1,05/03/1999,FC Nürnberg,Schalke 04,3,0,H,2,0,H,,,,,,,,,,,
D1,06/03/1999,Bayern München,SC Freiburg,2,0,H,1,0,H,,,,,,,,,,,
D1,06/03/1999,Bochum,Dortmund,0,1,A,0,1,A,,,,,,,,,,,
D1,06/03/1999,Hertha BSC,Kaiserslautern,1,1,D,0,1,A,,,,,,,,,,,
D1,06/03/1999,M'gladbach,1860 München,2,0,H,1,0,H,,,,,,,,,,,
D1,06/03/1999,VfB Stuttgart,Ein Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D1,06/03/1999,VFL Wolfsburg,Hamburger SV,4,1,H,1,1,D,,,,,,,,,,,
D1,07/03/1999,Bayer Leverkusen,Werder Bremen,2,0,H,0,0,D,,,,,,,,,,,
D1,12/03/1999,Dortmund,Bayer Leverkusen,1,0,H,1,0,H,,,,,,,,,,,
D1,12/03/1999,SC Freiburg,Hansa Rostock,3,0,H,0,0,D,,,,,,,,,,,
D1,13/03/1999,Hamburger SV,Bayern München,0,2,A,0,2,A,,,,,,,,,,,
D1,13/03/1999,Kaiserslautern,FC Nürnberg,2,0,H,1,0,H,,,,,,,,,,,
D1,13/03/1999,M'gladbach,MSV Duisburg,0,2,A,0,0,D,,,,,,,,,,,
D1,13/03/1999,1860 München,VfB Stuttgart,1,1,D,0,0,D,,,,,,,,,,,
D1,13/03/1999,Schalke 04,Bochum,2,2,D,2,2,D,,,,,,,,,,,
D1,13/03/1999,Werder Bremen,VFL Wolfsburg,0,1,A,0,0,D,,,,,,,,,,,
D1,14/03/1999,Ein Frankfurt,Hertha BSC,1,1,D,0,0,D,,,,,,,,,,,
D1,16/03/1999,Bochum,Hamburger SV,2,0,H,1,0,H,,,,,,,,,,,
D1,19/03/1999,Bayer Leverkusen,Schalke 04,1,1,D,1,0,H,,,,,,,,,,,
D1,19/03/1999,VFL Wolfsburg,Dortmund,0,0,D,0,0,D,,,,,,,,,,,
D1,20/03/1999,Bayern München,Werder Bremen,1,0,H,0,0,D,,,,,,,,,,,
D1,20/03/1999,Bochum,Kaiserslautern,1,2,A,1,0,H,,,,,,,,,,,
D1,20/03/1999,MSV Duisburg,SC Freiburg,1,0,H,0,0,D,,,,,,,,,,,
D1,20/03/1999,Hertha BSC,1860 München,2,1,H,1,1,D,,,,,,,,,,,
D1,20/03/1999,FC Nürnberg,Ein Frankfurt,2,2,D,1,1,D,,,,,,,,,,,
